lon,lat,depth
-76.506355,44.219250,6.355340
-76.505226,44.216171,17.462635
-76.504936,44.214619,19.031868
-76.506302,44.213200,19.511778
-76.505058,44.211868,19.249334
-76.505707,44.210541,19.072477
-76.504051,44.209255,18.765602
-76.505249,44.207855,19.011900
-76.504456,44.206467,18.624943
-76.506187,44.204945,18.292648
-76.505432,44.203602,17.776520
-76.505745,44.202084,17.234940
-76.507126,44.201366,17.015141
-76.506523,44.199596,16.616764
-76.507927,44.198746,16.675106
-76.509827,44.199474,16.718288
-76.504417,44.198883,16.448124
-76.504074,44.197308,13.638496
-76.502281,44.196674,10.764468
-76.502403,44.195118,7.772981
-76.500664,44.194523,7.428509
-76.500443,44.193024,6.884290
-76.501923,44.192066,6.736290
-76.501259,44.190601,6.250960
-76.499268,44.190197,5.801549
-76.498589,44.188885,5.201329
-76.496941,44.188671,4.794880
-76.495888,44.187672,4.496780
-76.496574,44.186584,4.301906
-76.495522,44.185467,4.136980
-76.496696,44.183929,3.730939
-76.495514,44.182861,3.718494
-76.495651,44.181339,2.936666
-76.497215,44.180511,2.105223
-76.348999,44.141476,3.362708
-76.347420,44.140285,5.768241
-76.345802,44.140766,7.430436
-76.344048,44.139835,10.939075
-76.343971,44.138397,13.043108
-76.341873,44.137650,22.622009
-76.342003,44.136204,36.311836
-76.344032,44.135517,35.813271
-76.356491,44.142670,2.663975
-76.354973,44.143433,3.182410
-76.352867,44.143017,2.344477
-76.351768,44.144043,2.082914
-76.350105,44.144043,1.830527
-76.348839,44.142960,2.650873
-76.360519,44.141857,2.773534
-76.358803,44.143009,3.474638
-76.340553,44.135052,43.877010
-76.338509,44.134949,30.044455
-76.337303,44.133366,20.963480
-76.334984,44.133152,11.774078
-76.333611,44.131817,8.173177
-76.334595,44.130795,5.652567
-76.504311,44.219181,10.770669
-76.503654,44.217579,16.152569
-76.502991,44.220566,6.390980
-76.501732,44.217239,17.198326
-76.501503,44.215534,18.711260
-76.503128,44.214321,19.234741
-76.503044,44.212585,19.224901
-76.501350,44.212215,18.673002
-76.500603,44.210876,18.290400
-76.501556,44.209476,18.392639
-76.499969,44.208527,18.324373
-76.500450,44.207077,18.241333
-76.502411,44.206104,18.378317
-76.501991,44.204502,17.945881
-76.503288,44.203518,17.676378
-76.502373,44.202057,17.217316
-76.503685,44.201191,16.994019
-76.502953,44.199764,16.605579
-76.500740,44.199154,16.393270
-76.500404,44.197643,13.361788
-76.498596,44.197041,10.538801
-76.498718,44.195484,7.597007
-76.496986,44.194897,7.224618
-76.496773,44.193390,6.647616
-76.498291,44.192478,6.475789
-76.497780,44.191113,5.878378
-76.495735,44.190510,5.415697
-76.495575,44.189373,4.932418
-76.494530,44.188374,4.634319
-76.492905,44.188198,4.862890
-76.491951,44.186829,4.681931
-76.493233,44.185604,4.263703
-76.492287,44.184521,4.111370
-76.493385,44.183319,3.972202
-76.492126,44.182343,4.066395
-76.493347,44.181061,3.228182
-76.492332,44.179993,3.401737
-76.347015,44.143539,3.107801
-76.345558,44.142536,5.481831
-76.343887,44.143078,7.262557
-76.342133,44.142185,10.867088
-76.342049,44.140717,12.595000
-76.340019,44.140079,15.474257
